epoch,train_loss,val_loss,val_mae_hz
0,0.13389041889892067,0.10725336025158565,0.3868099243901705
1,0.10340889993795128,0.05444913109143575,0.26562801085736265
2,0.097369568985562,0.11851171652475993,0.40486807429686456
3,0.09049361511025318,0.12032059331734975,0.40371814421841296
4,0.09712960895930611,0.14423543214797974,0.42474090415508803
5,0.08497032562140809,0.07257312039534251,0.31453345183506604
6,0.09068802917419477,0.06502733007073402,0.30529714332149493
7,0.08420554020030555,0.10178368166089058,0.3584546623945991
8,0.08249929339386695,0.09040245910485585,0.3198737478627793
9,0.08015099613992281,0.08285245299339294,0.31377233104224544
10,0.07632229641772979,0.11927599211533864,0.36020205989501314
11,0.08120997182938249,0.06441408023238182,0.27503695469756
12,0.07471932219557983,0.07925768941640854,0.2983056043282195
13,0.07260087422680023,0.04886671155691147,0.2641532347718731
14,0.07540763429431029,0.09961261600255966,0.3249414308192307
15,0.07170729928238448,0.0933423067132632,0.3357638490509899
16,0.06929416213791038,0.09773866335550944,0.3217087646464568
17,0.06814434539613336,0.08932349706689517,0.2982266067470432
18,0.07048698635988457,0.07862575973073642,0.2814742921727021
19,0.0731706226807694,0.061163882414499916,0.27836981422344126
20,0.06680939957326235,0.0700937236348788,0.25943700113856066
21,0.06642811416193496,0.09281613926092784,0.29348898715507443
22,0.06826650840771753,0.08455036828915279,0.2705270379120143
23,0.06472475956692252,0.08987086762984593,0.29955099660283646
24,0.06413504416339619,0.09109838679432869,0.2737935466542984
25,0.05930814853068008,0.0901692087451617,0.2928426546494813
26,0.06404584074436231,0.06788532063364983,0.26439537724993434
27,0.0565291651806166,0.08166198432445526,0.27806762505589644
28,0.052538040852130846,0.0627438190082709,0.2566550631939659
