epoch,train_loss,val_loss,val_mae_hz
0,1.255509852112266e+31,1.5724569704136003e+32,inf
1,4.5730757522677014e+33,0.0984402745962143,0.371384488501004
2,1.7983602948461373e+35,65620355754.80673,inf
3,1.2761270614139327e+35,inf,inf
4,1.3551113029618949e+35,65620372138.7228,inf
5,3.730206645900113e+35,inf,inf
6,6.744314985296705e+35,inf,inf
7,7.810026564253174e+33,0.09271630644798279,0.3229334691576523
8,3.5881018579400114e+35,2392187262205952.0,inf
9,9.29934334691102e+35,2.2068784942244293e+36,inf
10,4.060928394247947e+35,inf,inf
11,4.67964945820078e+35,0.06405908614397049,0.32688982651458437
12,1.669165962711961e+36,0.18293753763039908,0.5684754768016648
13,4.5030396905890455e+35,0.05545289566119512,0.20844910470931344
14,8.153409737590584e+35,1.0006518615752386e+37,inf
15,5.141854700456298e+35,0.08923689400156339,0.32555961290928376
16,1.0235553962681279e+36,4.108875718016722e+30,inf
17,1.5886755917802127e+36,2.6207616173560005e+32,inf
18,8.544302858891966e+35,inf,inf
19,8.47531981828473e+35,0.07750018934408824,0.2830334549147073
20,7.122317865395696e+35,inf,inf
21,2.4737191095886674e+35,65620355754.75748,inf
22,6.15737033794366e+35,0.09677038093407948,0.3286482147256614
23,1.1162742345145982e+36,inf,inf
24,1.5070468157253414e+35,inf,inf
25,1.362361729080121e+36,inf,inf
26,1.1480126533996847e+36,inf,inf
27,8.99427026177732e+35,0.0907291869322459,0.314500384885613
28,1.9033371237173e+36,0.09812903155883153,0.3327919852645543
