epoch,train_loss,val_loss,val_mae_hz
0,5.765675558183201e+31,0.06771273290117581,0.29358183522253894
1,2.3825105612327275e+31,inf,inf
2,2.9119573526177785e+31,0.06215156987309456,0.2714052165227334
3,1.814428895467898e+31,65620333909.40213,inf
4,3.6999830718651304e+31,3.224167227745056,36.477887877159404
5,4.551887076717194e+31,inf,inf
6,9.434741822481602e+31,inf,inf
7,6.047911424667693e+31,65620426752.02383,inf
8,8.577081478287272e+31,inf,inf
9,0.08910859283059835,inf,inf
10,2.3124788801718592e+31,4.807232524463836e+27,inf
11,3.9311424260340007e+31,inf,inf
12,1.3874620327178826e+31,0.04587517228598396,0.14130173522091857
13,4.551849124881475e+31,inf,inf
14,2.38255401908218e+31,65620355754.72765,inf
15,4.3702113858762145e+26,inf,inf
16,4.765021122465455e+31,0.10141195853551228,0.30562611944936274
17,2.2463671005908574e+31,inf,inf
18,0.0838629747075694,0.09822014222542445,0.2980928907763269
19,3.6998987539143537e+31,inf,inf
20,0.0834598637585129,3.1569594790538154,33.152667479728116
21,0.09612005677174877,0.07162983467181523,0.26468549816029996
22,3.699941170671922e+31,65620454058.720955,inf
23,1.9176304517239027e+31,inf,inf
24,3.5380281834306006e+31,65620443136.09583,inf
25,2.312436721196471e+31,65620443136.07919,inf
26,4.0319409497784625e+31,0.0755480316778024,0.24552523798781972
27,4.138044658983159e+31,0.13671398411194483,0.3906550296359407
