epoch,train_loss,val_loss,val_mae_hz
0,1.1505782710343417e+31,0.04792497927943865,0.23126384513810386
1,2.9951561341211435e+31,inf,inf
2,4.867162863399999e+31,0.05664395106335481,0.24749166881512513
3,2.0690223294915794e+31,0.14794606467088064,0.45115806940683445
4,2.9255013403043727e+31,0.1672320986787478,0.5156088602251818
5,1.1231835502954287e+31,2.6207616173560005e+32,inf
6,1.1506484241755433e+31,4.193218587769601e+32,inf
7,4.031977703757006e+31,0.14661970237890878,0.4552098378881395
8,4.218822168664717e+31,inf,inf
9,5.949837185348758e+31,inf,inf
10,4.118339684416572e+31,0.08552017311255138,0.3239507545347948
11,5.896713639051001e+31,0.06940694898366928,0.2816987500788801
12,1.1505782710343417e+31,inf,inf
13,2.9951561341211435e+31,0.07247806340456009,0.29257173121024294
14,4.118339684416572e+31,0.09850828846295674,0.35034411931631826
15,1.150613445906472e+31,inf,inf
