epoch,train_loss,val_loss,val_mae_hz
0,4.4928163805756945e+31,3.1449139408272006e+32,inf
1,2.0159704748892312e+31,0.1357528418302536,0.40145035586436123
2,0.11021949119261794,0.07483733197053273,0.2971764712640669
3,5.990312268242287e+31,inf,inf
4,2.5499302222923247e+31,inf,inf
5,1.1505782710343417e+31,inf,inf
6,0.10185040757060052,0.10004638383785884,0.32447318801551106
7,2.9951561341211435e+31,inf,inf
8,1.9176304517239027e+31,1.5724569704136003e+32,inf
9,7.425491249175335e+31,inf,inf
10,1.2414133976949475e+31,inf,inf
11,1.9655712130170004e+31,0.08221154535810153,0.280241534825969
12,4.867128717946858e+31,inf,inf
13,2.1249418519102705e+31,2.6207616173560005e+32,inf
14,1.0970630026141398e+31,inf,inf
15,3.414545314119949e+26,4.7803634397679285e+27,inf
16,5.369470379069671e+31,0.09552987664937973,0.29742621391918855
17,4.551849124881475e+31,0.10919599669675033,0.3882464964941971
